"orderNo","status","success","url","timestamp","errors","message"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
"PO16911913","PROCESSED",,,"2025-09-25T09:26:58.119Z",,"Order have not been successfully processd! Reason :This document number has already been used. Please choose a different document number"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
"PO16911913","PROCESSED",,,"2025-09-25T09:26:58.119Z",,"Order have not been successfully processd! Reason :This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:28:08.130Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
"PO16911913","PROCESSED",,,"2025-09-25T09:26:58.119Z",,"Order have not been successfully processd! Reason :This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:28:08.130Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
"PO16911913","PROCESSED",,,"2025-09-25T09:26:58.119Z",,"Order have not been successfully processd! Reason :This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:28:08.130Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
"PO16911913","PROCESSED",,,"2025-09-25T09:26:58.119Z",,"Order have not been successfully processd! Reason :This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:28:08.130Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
"PO16911913","PROCESSED",,,"2025-09-25T09:26:58.119Z",,"Order have not been successfully processd! Reason :This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:28:08.130Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16847361","PROCESSED",,,"2025-09-25T09:21:39.944Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16903346","NOT_PROCESSED",,,"2025-09-25T09:22:59.196Z",,"Error while processing orderlocator.waitFor: Timeout 10000ms exceeded.
Call log:
[2m  - waiting for locator('iframe[name=""main-app-iframe""]').contentFrame().locator('iframe[name=""legacy-frame""]').contentFrame().getByText('Invoice draft saved.') to be visible[22m
"
"PO16903361","PROCESSED",,,"2025-09-25T09:25:01.533Z",,"Order have not been successfully processd! Reason :Invoice is not valid for dispatch,This document number has already been used. Please choose a different document number"
"PO16911912","PROCESSED",,,"2025-09-25T09:25:59.419Z",,"Order have been successfully processd!"
